nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,submit_email,sfh,iframe,popup_window,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,status
1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,1
0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,0,1
0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0,0,0.133333333,0,0.0,0,0,0,0,0,0,0,0,1,1,0
3,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,1
0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0,0,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,0,1,0
2,0,0.46031746,0,0.174603175,0,0,0,0,0,0,0,0,1,1,0
19,0,0.033333333,0,0.108333333,1,0,0,0,0,0,0,0,1,0,1
1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,0
0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,0,1
0,0,0.846153846,0,0.615384615,0,0,0,0,0,0,0,0,1,0,1
0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1,0
0,0,0.0,0,0.086956522,0,0,0,0,0,0,0,0,1,0,1
0,0,0.13559322,0,0.644067797,0,0,0,0,0,0,0,0,0,0,0
0,0,0.166666667,0,0.0,0,0,0,0,0,0,0,0,1,1,0
1,0,0.153846154,0,0.192307692,1,0,0,0,0,0,0,0,1,0,0
0,0,0.057692308,0,0.038461538,1,0,0,0,0,0,0,0,1,1,1
3,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0,0,0.071428571,1,0,0,0,0,0,0,0,1,1,0
1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1,0
1,0,0.22,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,1,1,1
0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0,0,0.166666667,0,0.0,0,0,0,0,0,0,0,0,0,1,0
1,0,0.076923077,0,0.0,1,0,0,0,0,0,0,0,1,1,0
2,0,0.0,0,0.125,0,0,0,0,0,0,0,0,0,0,0
4,0,0.142857143,0,0.0,0,0,0,0,0,0,0,0,1,1,0
2,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
